EJs,MN_1_1,MN_1_2,MN_2_1,MN_2_2,MN_3_1,MN_3_2,MN_4_1,MN_4_2,MN_5_1,MN_5_2,VM_1_1,VM_1_2,VM_2_1,VM_2_2,VM_3_1,VM_3_2,VM_4_1,VM_4_2,VM_5_1,VM_5_2,GO_1_1,GO_1_2,GO_2_1,GO_2_2,GO_3_1,GO_3_2,GO_4_1,GO_4_2,GO_5_1,GO_5_2,GO_5_3,TC_1_1,TC_1_2,TC_1_3,TC_2_1,TC_2_2,TC_2_3,TC_3_1,TC_3_2,TC_3_3,TC_4_1,TC_4_2,TC_4_3,TC_5_1,TC_5_2
Excel̻ncia,0,2,2,3,4,4,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,0,3,4,2,2,4,4,0,4,4,2,4,4,4,4,4,4,4,4,4
QuimTec,4,4,3,2,3,2,3,3,4,2,3,4,3,4,3,3,3,3,3,3,3,1,2,2,2,3,3,3,3,1,3,3,1,2,4,3,2,2,4,3,2,2,3,2,2
Empreeng,1,0,1,0,2,1,2,1,1,1,1,3,1,4,3,2,4,1,0,2,1,2,3,1,1,1,2,2,2,3,1,2,0,2,1,1,0,3,4,3,3,2,1,2,3
Terra Rara,1,1,3,3,1,1,1,0,2,0,0,3,1,1,1,1,1,2,3,3,0,0,0,2,3,3,1,0,1,0,2,4,3,2,4,2,0,3,3,2,2,3,2,0,2
STARTEQ,3,0,3,0,3,1,1,2,1,2,0,1,1,1,2,0,4,1,0,4,0,0,1,2,2,1,1,2,0,1,0,1,1,2,3,0,1,1,3,1,3,3,3,0,3
Easy Jr.,1,0,0,3,1,0,0,2,2,2,2,0,1,0,0,2,1,1,3,3,0,1,1,0,0,1,0,1,1,0,2,2,1,1,2,1,1,1,2,3,2,1,2,1,0
Reina,1,1,1,0,1,0,2,2,2,3,2,4,0,2,2,3,2,2,3,2,0,0,1,2,2,0,2,3,3,2,3,1,3,0,3,0,0,0,0,0,2,0,0,1,0
SERCIVIL,0,0,0,0,0,0,0,2,0,2,0,1,0,2,0,0,1,1,3,1,0,4,2,0,0,0,0,1,1,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,1
EJAUFS,0,0,0,0,2,1,1,2,2,3,1,2,2,2,2,3,4,2,4,3,0,1,2,1,2,3,0,3,3,0,3,1,0,0,3,1,1,3,4,1,2,2,0,2,1
ProdUP,0,0,0,1,2,4,0,2,1,2,1,0,0,0,0,0,0,2,3,2,0,1,1,0,0,0,3,2,1,1,1,3,1,1,1,2,1,2,2,2,0,3,0,3,3